# Wavelength (Å), Efficiency
1.000000000000000021e-02,1.203984071671831795e-02
2.000000000000000042e-02,2.407907106800296834e-02
2.999999999999999889e-02,3.626940518053399509e-02
4.000000000000000083e-02,4.795455271927468593e-02
5.000000000000000278e-02,5.983124356715438519e-02
6.000000000000000472e-02,7.095993901771603662e-02
6.999999999999999278e-02,8.328625682258083973e-02
8.000000000000000167e-02,9.437484157278662467e-02
8.999999999999999667e-02,1.049987258861208028e-01
9.999999999999999167e-02,1.166777528190745677e-01
1.100000000000000006e-01,1.271872184379430892e-01
1.199999999999999956e-01,1.369808791385488667e-01
1.300000000000000044e-01,1.484606183898224685e-01
1.400000000000000133e-01,1.578201545691107488e-01
1.500000000000000222e-01,1.678958981287617946e-01
1.600000000000000033e-01,1.786730603714199728e-01
1.700000000000000122e-01,1.879163650617503845e-01
1.800000000000000211e-01,1.972613259322307799e-01
1.900000000000000022e-01,2.077276698739115579e-01
2.000000000000000111e-01,2.176776648948736403e-01
2.100000000000000200e-01,2.264247019988404885e-01
2.200000000000000011e-01,2.348268780605173855e-01
2.300000000000000100e-01,2.438293626154943161e-01
2.400000000000000189e-01,2.531362964727398301e-01
2.500000000000000000e-01,2.620973386223066082e-01
2.600000000000000089e-01,2.704843417942550121e-01
2.700000000000000178e-01,2.786788323812708357e-01
2.800000000000000266e-01,2.869043942119208768e-01
2.900000000000000355e-01,2.953849675692323262e-01
2.999999999999999889e-01,3.038054909380907831e-01
3.099999999999999978e-01,3.119038303766091258e-01
3.200000000000000067e-01,3.196815166246442796e-01
3.300000000000000155e-01,3.272092571599570232e-01
3.400000000000000244e-01,3.347013165927603673e-01
3.500000000000000333e-01,3.421133539999409168e-01
3.600000000000000422e-01,3.494181058610721369e-01
3.699999999999999956e-01,3.567729242321903693e-01
3.800000000000000044e-01,3.639619984920418050e-01
3.900000000000000133e-01,3.710899141584093064e-01
4.000000000000000222e-01,3.780967253659701099e-01
4.100000000000000311e-01,3.849499569288666323e-01
4.200000000000000400e-01,3.917492936254626801e-01
4.299999999999999933e-01,3.984268302217572888e-01
4.400000000000000022e-01,4.050294439279366610e-01
4.500000000000000111e-01,4.116009022572841847e-01
4.600000000000000200e-01,4.180407667472402222e-01
4.700000000000000289e-01,4.244027501841690642e-01
4.800000000000000377e-01,4.307971887724720284e-01
4.899999999999999911e-01,4.368623661736744657e-01
5.000000000000000000e-01,4.429981840815602756e-01
5.100000000000000089e-01,4.490358770139416533e-01
