# Wavelength (Å), Efficiency
1.000000000000000021e-02,1.427287726542894250e-02
2.000000000000000042e-02,2.854823594743026785e-02
2.999999999999999889e-02,4.298493472437161372e-02
4.000000000000000083e-02,5.680903260162765978e-02
5.000000000000000278e-02,7.084546273683466067e-02
6.000000000000000472e-02,8.398498050376340673e-02
6.999999999999999278e-02,9.852316802871144419e-02
8.000000000000000167e-02,1.115880856792370174e-01
8.999999999999999667e-02,1.240931063052061606e-01
9.999999999999999167e-02,1.378256457817663427e-01
1.100000000000000006e-01,1.501699335469158791e-01
1.199999999999999956e-01,1.616624388188296346e-01
1.300000000000000044e-01,1.751186132288652386e-01
1.400000000000000133e-01,1.860788591665969716e-01
1.500000000000000222e-01,1.978653036260832887e-01
1.600000000000000033e-01,2.104580300845358132e-01
1.700000000000000122e-01,2.212475428887316908e-01
1.800000000000000211e-01,2.321446828890126601e-01
1.900000000000000022e-01,2.443348368313574548e-01
2.000000000000000111e-01,2.559106668544615104e-01
2.100000000000000200e-01,2.660759148527599427e-01
2.200000000000000011e-01,2.758306679777561277e-01
2.300000000000000100e-01,2.862709960193249858e-01
2.400000000000000189e-01,2.970518482032337704e-01
2.500000000000000000e-01,3.074193055780753414e-01
2.600000000000000089e-01,3.171122343198835569e-01
2.700000000000000178e-01,3.265728275830392380e-01
2.800000000000000266e-01,3.360588193155233383e-01
2.900000000000000355e-01,3.458276721758372085e-01
2.999999999999999889e-01,3.555145383135298598e-01
3.099999999999999978e-01,3.648205393104468897e-01
3.200000000000000067e-01,3.737467137845048581e-01
3.300000000000000155e-01,3.823760432496624007e-01
3.400000000000000244e-01,3.909561640991110476e-01
3.500000000000000333e-01,3.994342589379364372e-01
3.600000000000000422e-01,4.077809854928361455e-01
3.699999999999999956e-01,4.161735392556730750e-01
3.800000000000000044e-01,4.243658050538635096e-01
3.900000000000000133e-01,4.324787849017868724e-01
4.000000000000000222e-01,4.404445022404367971e-01
4.100000000000000311e-01,4.482265696130073862e-01
4.200000000000000400e-01,4.559383478429947512e-01
4.299999999999999933e-01,4.635027249116338011e-01
4.400000000000000022e-01,4.709721072595545732e-01
4.500000000000000111e-01,4.783945487736916413e-01
4.600000000000000200e-01,4.856619715770314483e-01
4.700000000000000289e-01,4.928329358337670829e-01
4.800000000000000377e-01,5.000285669530442068e-01
4.899999999999999911e-01,5.068467816581343488e-01
5.000000000000000000e-01,5.137319799413950783e-01
5.100000000000000089e-01,5.205012847201136994e-01
5.200000000000000178e-01,5.271826563610308991e-01
5.300000000000000266e-01,5.337346871954322669e-01
5.400000000000000355e-01,5.401564397144977825e-01
5.500000000000000444e-01,5.465552605795996888e-01
5.600000000000000533e-01,5.526544385344785981e-01
5.700000000000000622e-01,5.587926930262034908e-01
5.800000000000000711e-01,5.649764530380689820e-01
5.899999999999999689e-01,5.708941185497270476e-01
5.999999999999999778e-01,5.765797189919357191e-01
6.099999999999999867e-01,5.823889311145428183e-01
6.199999999999999956e-01,5.879438382749657688e-01
6.300000000000000044e-01,5.936334754455111495e-01
6.400000000000000133e-01,5.990628933349964047e-01
6.500000000000000222e-01,6.043327468797317081e-01
6.600000000000000311e-01,6.096769124170582366e-01
6.700000000000000400e-01,6.148242804741249623e-01
6.800000000000000488e-01,6.199671418509073995e-01
6.900000000000000577e-01,6.248895693452501954e-01
7.000000000000000666e-01,6.299424580030368315e-01
7.100000000000000755e-01,6.348134163473069247e-01
7.199999999999999734e-01,6.396216795893981955e-01
7.299999999999999822e-01,6.442239246539042119e-01
7.399999999999999911e-01,6.490653217798140195e-01
7.500000000000000000e-01,6.535105233624168841e-01
7.600000000000000089e-01,6.581044291941509083e-01
7.700000000000000178e-01,6.625568654745153108e-01
7.800000000000000266e-01,6.669195719658667088e-01
7.900000000000000355e-01,6.711383734351324959e-01
8.000000000000000444e-01,6.753681615536814009e-01
8.100000000000000533e-01,6.795167674433844063e-01
8.200000000000000622e-01,6.835427415684649510e-01
8.300000000000000711e-01,6.875294905363993347e-01
8.400000000000000799e-01,6.915640722353928460e-01
8.499999999999999778e-01,6.954474985031657841e-01
