# Wavelength (Å), Efficiency
-1.218999999999999861e+00,0.000000000000000000e+00
-1.169244897959183627e+00,0.000000000000000000e+00
-1.119489795918367170e+00,5.803123230385111020e-01
-1.069734693877550935e+00,7.061627984876022168e-01
-1.019979591836734478e+00,7.709376907831928527e-01
-9.702244897959182435e-01,8.106706980692356401e-01
-9.204693877551020087e-01,8.373976762579091737e-01
-8.707142857142856629e-01,8.564665026104807399e-01
-8.209591836734693171e-01,8.706459710138078067e-01
-7.712040816326529713e-01,8.815180248238937422e-01
-7.214489795918366255e-01,8.900518486383582895e-01
-6.716938775510203907e-01,8.968731788423200957e-01
-6.219387755102040449e-01,9.024028893960014397e-01
-5.721836734693876991e-01,9.069334947201910246e-01
-5.224285714285714644e-01,9.106737840246783566e-01
-4.726734693877551186e-01,9.137760556623298891e-01
-4.229183673469387728e-01,9.163533600018977099e-01
-3.731632653061224270e-01,9.184907574738284675e-01
-3.234081632653060812e-01,9.202528595223437025e-01
-2.736530612244898464e-01,9.216889860989322392e-01
-2.238979591836735006e-01,9.228367497602132374e-01
-1.741428571428571548e-01,9.237245718007881523e-01
-1.243877551020409200e-01,9.243734524912200490e-01
-7.463265306122446319e-02,9.247982034652034722e-01
-2.487755102040822841e-02,9.250082769022912599e-01
2.487755102040800637e-02,9.250082769022912599e-01
7.463265306122446319e-02,9.247982034652034722e-01
1.243877551020406980e-01,9.243734524912200490e-01
1.741428571428569327e-01,9.237245718007881523e-01
2.238979591836733896e-01,9.228367497602132374e-01
2.736530612244896243e-01,9.216889860989322392e-01
3.234081632653060812e-01,9.202528595223437025e-01
3.731632653061223159e-01,9.184907574738284675e-01
4.229183673469385507e-01,9.163533600018977099e-01
4.726734693877550075e-01,9.137760556623298891e-01
5.224285714285712423e-01,9.106737840246783566e-01
5.721836734693876991e-01,9.069334947201910246e-01
6.219387755102039339e-01,9.024028893960012176e-01
6.716938775510201687e-01,8.968731788423200957e-01
7.214489795918366255e-01,8.900518486383582895e-01
7.712040816326528603e-01,8.815180248238937422e-01
8.209591836734690951e-01,8.706459710138079178e-01
8.707142857142855519e-01,8.564665026104807399e-01
9.204693877551020087e-01,8.373976762579091737e-01
9.702244897959180214e-01,8.106706980692357511e-01
1.019979591836734478e+00,7.709376907831928527e-01
1.069734693877550935e+00,7.061627984876022168e-01
1.119489795918366948e+00,5.803123230385118791e-01
1.169244897959183405e+00,0.000000000000000000e+00
1.218999999999999861e+00,0.000000000000000000e+00
