# Wavelength (Å), Efficiency
1.000000000000000000e+00,3.940975998823862403e-01
1.020066889632107010e+00,3.983976116414672530e-01
1.040133779264214020e+00,4.026075611646948160e-01
1.060200668896321030e+00,4.067297543357626388e-01
1.080267558528428040e+00,4.107661373653947456e-01
1.100334448160535050e+00,4.147181898063548866e-01
1.120401337792642060e+00,4.185873464569018210e-01
1.140468227424749070e+00,4.223750324829878000e-01
1.160535117056856080e+00,4.260826622892472937e-01
1.180602006688963090e+00,4.297116383180296095e-01
1.200668896321070322e+00,4.332633498277742023e-01
1.220735785953177333e+00,4.367392836043699211e-01
1.240802675585284343e+00,4.401414182363323491e-01
1.260869565217391353e+00,4.434718224299124545e-01
1.280936454849498363e+00,4.467324994404410221e-01
1.301003344481605373e+00,4.499253896839178202e-01
1.321070234113712383e+00,4.530523731216384298e-01
1.341137123745819393e+00,4.561152714382816220e-01
1.361204013377926403e+00,4.591158500458495939e-01
1.381270903010033413e+00,4.620558193905237587e-01
1.401337792642140423e+00,4.649367550790258763e-01
1.421404682274247433e+00,4.677600199532846448e-01
1.441471571906354665e+00,4.705269224453448862e-01
1.461538461538461675e+00,4.732387390541489824e-01
1.481605351170568685e+00,4.758967151974845544e-01
1.501672240802675695e+00,4.785020660371703261e-01
1.521739130434782705e+00,4.810559772790972688e-01
1.541806020066889715e+00,4.835596059482746845e-01
1.561872909698996725e+00,4.860140811406376549e-01
1.581939799331103735e+00,4.884204997888459410e-01
1.602006688963210745e+00,4.907798433478675060e-01
1.622073578595317755e+00,4.930929970040026644e-01
1.642140468227424766e+00,4.953608295574571940e-01
1.662207357859531776e+00,4.975841962029871057e-01
1.682274247491638786e+00,4.997639385724574335e-01
1.702341137123745796e+00,5.019008847756830649e-01
1.722408026755852806e+00,5.039958494434118030e-01
1.742474916387959816e+00,5.060496337726205773e-01
1.762541806020066826e+00,5.080630255761315883e-01
1.782608695652173836e+00,5.100367993373220443e-01
1.802675585284280846e+00,5.119717163028532081e-01
1.822742474916387856e+00,5.138685380068318542e-01
1.842809364548494866e+00,5.157280454161694561e-01
1.862876254180601876e+00,5.175510030776964143e-01
1.882943143812709108e+00,5.193381705860949937e-01
1.903010033444816118e+00,5.210904358198279462e-01
1.923076923076923128e+00,5.228087432800863077e-01
1.943143812709030138e+00,5.244940102576829410e-01
1.963210702341137148e+00,5.261471268259034773e-01
1.983277591973244158e+00,5.277689567525589709e-01
2.003344481605351390e+00,5.293603383639943205e-01
2.023411371237457956e+00,5.309220853651440697e-01
2.043478260869565410e+00,5.324549876194721865e-01
2.063545150501671976e+00,5.339598118920356740e-01
2.083612040133779431e+00,5.354373025589486135e-01
2.103678929765885997e+00,5.368881822853143193e-01
2.123745819397993451e+00,5.383131526748792250e-01
2.143812709030100461e+00,5.397128761920028106e-01
2.163879598662207471e+00,5.410878549597575304e-01
2.183946488294314481e+00,5.424385160538942596e-01
2.204013377926421491e+00,5.437652796199761163e-01
2.224080267558528501e+00,5.450685593125673689e-01
2.244147157190635511e+00,5.463487623607423682e-01
2.264214046822742521e+00,5.476062896291608029e-01
2.284280936454849531e+00,5.488415356759374086e-01
2.304347826086956541e+00,5.500548888077296805e-01
2.324414715719063551e+00,5.512467311328176356e-01
2.344481605351170561e+00,5.524174386127594927e-01
2.364548494983277571e+00,5.535673811130544797e-01
2.384615384615384581e+00,5.546969224533353504e-01
2.404682274247491591e+00,5.558064204570734024e-01
2.424749163879598601e+00,5.568962270015791471e-01
2.444816053511705611e+00,5.579666996183693106e-01
2.464882943143813065e+00,5.590182662825643467e-01
2.484949832775919631e+00,5.600513761681525926e-01
2.505016722408027086e+00,5.610664669685927475e-01
2.525083612040133652e+00,5.620639651065063580e-01
2.545150501672241106e+00,5.630442860488118484e-01
2.565217391304347672e+00,5.640078346112002983e-01
2.585284280936455126e+00,5.649550052521481458e-01
2.605351170568561692e+00,5.658861823574298233e-01
2.625418060200669146e+00,5.668017405150025390e-01
2.645484949832775712e+00,5.677020447812228809e-01
2.665551839464883166e+00,5.685874509385401288e-01
2.685618729096989732e+00,5.694583057448664443e-01
2.705685618729097186e+00,5.703149471753744537e-01
2.725752508361203752e+00,5.711577046567573035e-01
2.745819397993311206e+00,5.719868992942863661e-01
2.765886287625418216e+00,5.728028440920143183e-01
2.785953177257525226e+00,5.736058440683416970e-01
2.806020066889632236e+00,5.743961783927944431e-01
2.826086956521739246e+00,5.751740806742691170e-01
2.846153846153846256e+00,5.759397748123057381e-01
2.866220735785953266e+00,5.766934803555677780e-01
2.886287625418060276e+00,5.774354125878340405e-01
2.906354515050167286e+00,5.781657826119288579e-01
2.926421404682274297e+00,5.788847974316987388e-01
2.946488294314381307e+00,5.795926600319407651e-01
2.966555183946488317e+00,5.802895694565853857e-01
2.986622073578595327e+00,5.809757208851257237e-01
3.006688963210702337e+00,5.816513057072164594e-01
3.026755852842809347e+00,5.823165115958860438e-01
3.046822742474916357e+00,5.829715225790044197e-01
3.066889632107023367e+00,5.836165191092690385e-01
3.086956521739130377e+00,5.842516781328145337e-01
3.107023411371237387e+00,5.848771731563456866e-01
3.127090301003344397e+00,5.854931743129944133e-01
3.147157190635451407e+00,5.860998484267055941e-01
3.167224080267558417e+00,5.866973590756036083e-01
3.187290969899665427e+00,5.872858687336163230e-01
3.207357859531772437e+00,5.878655612189159774e-01
