# Wavelength (Å), Efficiency
1.000000000000000000e+00,3.844365333040082877e-01
1.060606060606060552e+00,3.968409626740938001e-01
1.121212121212121104e+00,4.084799344706677160e-01
1.181818181818181879e+00,4.193944484882460855e-01
1.242424242424242431e+00,4.296231845719677978e-01
1.303030303030302983e+00,4.392148629159087769e-01
1.363636363636363757e+00,4.482214048237855852e-01
1.424242424242424310e+00,4.566895500899065263e-01
1.484848484848484862e+00,4.646575782848491043e-01
1.545454545454545414e+00,4.721588633200833884e-01
1.606060606060605966e+00,4.792242313875846871e-01
1.666666666666666741e+00,4.858799922569137508e-01
1.727272727272727293e+00,4.921491094432973168e-01
1.787878787878787845e+00,4.980533895542327283e-01
1.848484848484848619e+00,5.036136764045127112e-01
1.909090909090909172e+00,5.088507972401339341e-01
1.969696969696969724e+00,5.137880843349541538e-01
2.030303030303030276e+00,5.184492152995813230e-01
2.090909090909090828e+00,5.228558618097074451e-01
2.151515151515151381e+00,5.270277779692862374e-01
2.212121212121211933e+00,5.309806465123295682e-01
2.272727272727272485e+00,5.347259354461117997e-01
2.333333333333333481e+00,5.382743490274801701e-01
2.393939393939394034e+00,5.416360859199778055e-01
2.454545454545454586e+00,5.448208964867670145e-01
2.515151515151515138e+00,5.478394131302288805e-01
2.575757575757575690e+00,5.507031551215695320e-01
2.636363636363636687e+00,5.534228660429262314e-01
2.696969696969697239e+00,5.560084828524283207e-01
2.757575757575757791e+00,5.584692001355459068e-01
2.818181818181818343e+00,5.608134676747889014e-01
2.878787878787878896e+00,5.630482395869150780e-01
2.939393939393939448e+00,5.651793671109176520e-01
3.000000000000000000e+00,5.672123478259016860e-01
3.060606060606060552e+00,5.691523633083898082e-01
3.121212121212121104e+00,5.710042972021682761e-01
3.181818181818181657e+00,5.727727525646270079e-01
3.242424242424242653e+00,5.744623371418025037e-01
3.303030303030303205e+00,5.760780899864155202e-01
3.363636363636363757e+00,5.776248151834981748e-01
3.424242424242424310e+00,5.791069769612888773e-01
3.484848484848484862e+00,5.805287251634622114e-01
3.545454545454545414e+00,5.818939185860506624e-01
3.606060606060605966e+00,5.832061463945278357e-01
3.666666666666666963e+00,5.844687262674416184e-01
3.727272727272727515e+00,5.856842699897861770e-01
3.787878787878788067e+00,5.868547694536230264e-01
3.848484848484848619e+00,5.879820995541533701e-01
3.909090909090909172e+00,5.890680445007986377e-01
3.969696969696969724e+00,5.901143021658317167e-01
4.030303030303030276e+00,5.911224881298523526e-01
4.090909090909090828e+00,5.920941394700026672e-01
4.151515151515151381e+00,5.930307183347984790e-01
4.212121212121212821e+00,5.939337616231239458e-01
4.272727272727273373e+00,5.948052314143958963e-01
4.333333333333333925e+00,5.956470725175505576e-01
4.393939393939394478e+00,5.964611004607912603e-01
4.454545454545455030e+00,5.972490108376735662e-01
4.515151515151515582e+00,5.980123878723714315e-01
4.575757575757576134e+00,5.987527122774701782e-01
4.636363636363636687e+00,5.994713684734718218e-01
4.696969696969697239e+00,6.001696512308856146e-01
4.757575757575757791e+00,6.008487717654750204e-01
4.818181818181818343e+00,6.015097866843146512e-01
4.878787878787878896e+00,6.021534444205454140e-01
4.939393939393939448e+00,6.027804051264765706e-01
5.000000000000000000e+00,6.033912950172514167e-01
5.060606060606060552e+00,6.039867084002893405e-01
5.121212121212121104e+00,6.045672095653398248e-01
5.181818181818181657e+00,6.051333345464225966e-01
5.242424242424242209e+00,6.056855927654072325e-01
5.303030303030302761e+00,6.062244685664668342e-01
5.363636363636363313e+00,6.067504226497820730e-01
5.424242424242424754e+00,6.072638934118359533e-01
5.484848484848485306e+00,6.077653070819630798e-01
5.545454545454545858e+00,6.082551034693001180e-01
5.606060606060606410e+00,6.087337086187375457e-01
5.666666666666666963e+00,6.092015271885059535e-01
5.727272727272727515e+00,6.096589436869549461e-01
5.787878787878788067e+00,6.101063236337813667e-01
5.848484848484848619e+00,6.105440146483781527e-01
5.909090909090909172e+00,6.109723474700837764e-01
5.969696969696969724e+00,6.113916369149842156e-01
6.030303030303030276e+00,6.118021827733360896e-01
6.090909090909090828e+00,6.122042706515600230e-01
6.151515151515151381e+00,6.125981727624665307e-01
6.212121212121211933e+00,6.129841486670858375e-01
6.272727272727272485e+00,6.133624555722734240e-01
6.333333333333333925e+00,6.137333792273996780e-01
6.393939393939394478e+00,6.140972021236892342e-01
6.454545454545455030e+00,6.144541929311929662e-01
6.515151515151515582e+00,6.148046072850037458e-01
6.575757575757576134e+00,6.151486885216894684e-01
6.636363636363636687e+00,6.154866683692058471e-01
6.696969696969697239e+00,6.158187675936552807e-01
6.757575757575757791e+00,6.161451966056106233e-01
6.818181818181818343e+00,6.164661560289836917e-01
6.878787878787878896e+00,6.167818372348389255e-01
6.939393939393939448e+00,6.170924228424865543e-01
7.000000000000000000e+00,6.173980871901484369e-01
