# Wavelength (Å), Efficiency
1.000000000000000000e+00,4.035251469220907383e-01
1.060606060606060552e+00,4.169304772788006708e-01
1.121212121212121104e+00,4.295404109406051330e-01
1.181818181818181879e+00,4.413949308609391164e-01
1.242424242424242431e+00,4.525319073629213151e-01
1.303030303030302983e+00,4.630002753828078577e-01
1.363636363636363757e+00,4.728527807127306803e-01
1.424242424242424310e+00,4.821370084080927043e-01
1.484848484848484862e+00,4.908918138382469265e-01
1.545454545454545414e+00,4.991510667206793261e-01
1.606060606060605966e+00,5.069461410480157193e-01
1.666666666666666741e+00,5.143037565637865738e-01
1.727272727272727293e+00,5.212472070491463993e-01
1.787878787878787845e+00,5.277987059480357956e-01
1.848484848484848619e+00,5.339795835874562302e-01
1.909090909090909172e+00,5.398113039675919156e-01
1.969696969696969724e+00,5.453181980865310363e-01
2.030303030303030276e+00,5.505251228124138363e-01
2.090909090909090828e+00,5.554548925926923175e-01
2.151515151515151381e+00,5.601283576032093370e-01
2.212121212121211933e+00,5.645620333821120829e-01
2.272727272727272485e+00,5.687679167741990227e-01
2.333333333333333481e+00,5.727572379828107518e-01
2.393939393939394034e+00,5.765407364651409239e-01
2.454545454545454586e+00,5.801287183683002668e-01
2.515151515151515138e+00,5.835325119238577996e-01
2.575757575757575690e+00,5.867644741868108804e-01
2.636363636363636687e+00,5.898361640792435523e-01
2.696969696969697239e+00,5.927583019469668812e-01
2.757575757575757791e+00,5.955408341608940948e-01
2.818181818181818343e+00,5.981929249451883868e-01
2.878787878787878896e+00,6.007221234451712855e-01
2.939393939393939448e+00,6.031347892950978951e-01
3.000000000000000000e+00,6.054369140249037384e-01
3.060606060606060552e+00,6.076341600972315904e-01
3.121212121212121104e+00,6.097318786001787450e-01
3.181818181818181657e+00,6.117351263460413247e-01
3.242424242424242653e+00,6.136489796993157553e-01
3.303030303030303205e+00,6.154790060715731315e-01
3.363636363636363757e+00,6.172305261488183481e-01
3.424242424242424310e+00,6.189084960006551173e-01
3.484848484848484862e+00,6.205175334996577696e-01
3.545454545454545414e+00,6.220619425852225159e-01
3.606060606060605966e+00,6.235457355872296992e-01
3.666666666666666963e+00,6.249726298677504843e-01
3.727272727272727515e+00,6.263455638373909284e-01
3.787878787878788067e+00,6.276667904421254773e-01
3.848484848484848619e+00,6.289384347781437068e-01
3.909090909090909172e+00,6.301625228884827346e-01
3.969696969696969724e+00,6.313409862153975816e-01
4.030303030303030276e+00,6.324756657550720806e-01
4.090909090909090828e+00,6.335683159617154780e-01
4.151515151515151381e+00,6.346206084472043596e-01
4.212121212121212821e+00,6.356342985723131278e-01
4.272727272727273373e+00,6.366116162281845181e-01
4.333333333333333925e+00,6.375547729387692764e-01
4.393939393939394478e+00,6.384658367035247473e-01
4.454545454545455030e+00,6.393467420860626804e-01
4.515151515151515582e+00,6.401992994798646475e-01
4.575757575757576134e+00,6.410252036272260368e-01
4.636363636363636687e+00,6.418260414634089361e-01
4.696969696969697239e+00,6.426032993496387791e-01
4.757575757575757791e+00,6.433583697247791111e-01
4.818181818181818343e+00,6.440924715565292669e-01
4.878787878787878896e+00,6.448064784642467684e-01
4.939393939393939448e+00,6.455011642310888309e-01
5.000000000000000000e+00,6.461772635069576998e-01
5.060606060606060552e+00,6.468354740743768039e-01
5.121212121212121104e+00,6.474764589645889412e-01
5.181818181818181657e+00,6.481008484353468768e-01
5.242424242424242209e+00,6.487092418208706412e-01
5.303030303030302761e+00,6.493022092635322151e-01
5.363636363636363313e+00,6.498802933359139056e-01
5.424242424242424754e+00,6.504440105612255829e-01
5.484848484848485306e+00,6.509938627869004124e-01
5.545454545454545858e+00,6.515303660490207038e-01
5.606060606060606410e+00,6.520540199914052204e-01
5.666666666666666963e+00,6.525652993564571291e-01
5.727272727272727515e+00,6.530646553927715869e-01
5.787878787878788067e+00,6.535525171794178689e-01
5.848484848484848619e+00,6.540292928696359587e-01
5.909090909090909172e+00,6.544953708590874886e-01
5.969696969696969724e+00,6.549511208834984943e-01
6.030303030303030276e+00,6.553968950501630752e-01
6.090909090909090828e+00,6.558330288075587822e-01
6.151515151515151381e+00,6.562598418569551839e-01
6.212121212121211933e+00,6.566776390097003313e-01
6.272727272727272485e+00,6.570867217655609327e-01
6.333333333333333925e+00,6.574874230092123684e-01
6.393939393939394478e+00,6.578800713699564096e-01
6.454545454545455030e+00,6.582649793936170557e-01
6.515151515151515582e+00,6.586424444444678450e-01
6.575757575757576134e+00,6.590127495512662081e-01
6.636363636363636687e+00,6.593761642009974278e-01
6.696969696969697239e+00,6.597329450838744780e-01
6.757575757575757791e+00,6.600833367928232720e-01
6.818181818181818343e+00,6.604275724804707925e-01
6.878787878787878896e+00,6.607658744764549619e-01
6.939393939393939448e+00,6.610984548676585026e-01
7.000000000000000000e+00,6.614255160437657599e-01
