# Wavelength (Å), Efficiency
1.000000000000000000e+00,3.925748333835513137e-01
1.020066889632107010e+00,3.971343027079602406e-01
1.040133779264214020e+00,4.016067916462395804e-01
1.060200668896321030e+00,4.059943450751717919e-01
1.080267558528428040e+00,4.102986534239561056e-01
1.100334448160535050e+00,4.145209411714292358e-01
1.120401337792642060e+00,4.186623959178892296e-01
1.140468227424749070e+00,4.227242040314005966e-01
1.160535117056856080e+00,4.267075493498082017e-01
1.180602006688963090e+00,4.306136118019265879e-01
1.200668896321070322e+00,4.344435660004617450e-01
1.220735785953177333e+00,4.381986949153319766e-01
1.240802675585284343e+00,4.418807961343716451e-01
1.260869565217391353e+00,4.454917705773567826e-01
1.280936454849498363e+00,4.490334624307313893e-01
1.301003344481605373e+00,4.525076613908935452e-01
1.321070234113712383e+00,4.559161046932120875e-01
1.341137123745819393e+00,4.592604789451169012e-01
1.361204013377926403e+00,4.625424217963505225e-01
1.381270903010033413e+00,4.657635229027272117e-01
1.401337792642140423e+00,4.689252407260910416e-01
1.421404682274247433e+00,4.720288208578913847e-01
1.441471571906354665e+00,4.750754593543076165e-01
1.461538461538461675e+00,4.780663257591929449e-01
1.481605351170568685e+00,4.810025637589573355e-01
1.501672240802675695e+00,4.838852918173545126e-01
1.521739130434782705e+00,4.867156037913197286e-01
1.541806020066889715e+00,4.894945695284441678e-01
1.561872909698996725e+00,4.922232354469133764e-01
1.581939799331103735e+00,4.949026198422195599e-01
1.602006688963210745e+00,4.975336243362810107e-01
1.622073578595317755e+00,5.001170536130310484e-01
1.642140468227424766e+00,5.026536997251719319e-01
1.662207357859531776e+00,5.051443449215803350e-01
1.682274247491638786e+00,5.075897615780985417e-01
1.702341137123745796e+00,5.099907121282089006e-01
1.722408026755852806e+00,5.123479489967901479e-01
1.742474916387959816e+00,5.146622145378503266e-01
1.762541806020066826e+00,5.169342409778151515e-01
1.782608695652173836e+00,5.191647503658641805e-01
1.802675585284280846e+00,5.213544545660679930e-01
1.822742474916387856e+00,5.235040697600460424e-01
1.842809364548494866e+00,5.256143370843341378e-01
1.862876254180601876e+00,5.276859836061236209e-01
1.882943143812709108e+00,5.297197345422448578e-01
1.903010033444816118e+00,5.317164564159465590e-01
1.923076923076923128e+00,5.336770806525227284e-01
