# Wavelength (Å), Depth (cm)
1.000000000000000000e+00,1.524000000000000007e-02
1.050000000000000044e+00,1.270000000000000122e-02
1.100000000000000089e+00,1.270000000000000122e-02
1.150000000000000133e+00,1.270000000000000122e-02
1.200000000000000178e+00,1.270000000000000122e-02
1.250000000000000222e+00,1.270000000000000122e-02
1.300000000000000266e+00,1.016000000000000063e-02
1.350000000000000311e+00,1.016000000000000063e-02
1.400000000000000355e+00,1.016000000000000063e-02
1.450000000000000400e+00,1.016000000000000063e-02
1.500000000000000444e+00,1.016000000000000063e-02
1.550000000000000488e+00,7.620000000000000037e-03
1.600000000000000533e+00,7.620000000000000037e-03
1.650000000000000577e+00,7.620000000000000037e-03
1.700000000000000622e+00,7.620000000000000037e-03
1.750000000000000666e+00,7.620000000000000037e-03
1.800000000000000711e+00,7.620000000000000037e-03
1.850000000000000755e+00,7.620000000000000037e-03
1.900000000000000799e+00,7.620000000000000037e-03
1.950000000000000844e+00,7.620000000000000037e-03
2.000000000000000888e+00,5.080000000000000314e-03
2.050000000000000711e+00,5.080000000000000314e-03
2.100000000000000977e+00,5.080000000000000314e-03
2.150000000000001243e+00,5.080000000000000314e-03
2.200000000000001066e+00,5.080000000000000314e-03
2.250000000000000888e+00,5.080000000000000314e-03
2.300000000000001155e+00,5.080000000000000314e-03
2.350000000000001421e+00,5.080000000000000314e-03
2.400000000000001243e+00,5.080000000000000314e-03
2.450000000000001066e+00,5.080000000000000314e-03
2.500000000000001332e+00,5.080000000000000314e-03
2.550000000000001599e+00,5.080000000000000314e-03
2.600000000000001421e+00,5.080000000000000314e-03
2.650000000000001243e+00,5.080000000000000314e-03
2.700000000000001510e+00,5.080000000000000314e-03
2.750000000000001776e+00,5.080000000000000314e-03
2.800000000000001599e+00,2.540000000000000157e-03
2.850000000000001421e+00,2.540000000000000157e-03
2.900000000000001688e+00,2.540000000000000157e-03
2.950000000000001954e+00,2.540000000000000157e-03
3.000000000000001776e+00,2.540000000000000157e-03
3.050000000000001599e+00,2.540000000000000157e-03
3.100000000000001865e+00,2.540000000000000157e-03
3.150000000000002132e+00,2.540000000000000157e-03
3.200000000000001954e+00,2.540000000000000157e-03
3.250000000000001776e+00,2.540000000000000157e-03
3.300000000000002043e+00,2.540000000000000157e-03
3.350000000000002309e+00,2.540000000000000157e-03
3.400000000000002132e+00,2.540000000000000157e-03
3.450000000000001954e+00,2.540000000000000157e-03
3.500000000000002220e+00,2.540000000000000157e-03
3.550000000000002487e+00,2.540000000000000157e-03
3.600000000000002309e+00,2.540000000000000157e-03
3.650000000000002132e+00,2.540000000000000157e-03
3.700000000000002398e+00,2.540000000000000157e-03
3.750000000000002665e+00,2.540000000000000157e-03
3.800000000000002487e+00,2.540000000000000157e-03
3.850000000000002309e+00,2.540000000000000157e-03
3.900000000000002576e+00,2.540000000000000157e-03
3.950000000000002842e+00,2.540000000000000157e-03
4.000000000000002665e+00,2.540000000000000157e-03
4.050000000000002487e+00,2.540000000000000157e-03
4.100000000000003197e+00,2.540000000000000157e-03
4.150000000000003020e+00,2.540000000000000157e-03
4.200000000000002842e+00,2.540000000000000157e-03
4.250000000000002665e+00,2.540000000000000157e-03
4.300000000000002487e+00,2.540000000000000157e-03
4.350000000000003197e+00,2.540000000000000157e-03
4.400000000000003020e+00,2.540000000000000157e-03
4.450000000000002842e+00,2.540000000000000157e-03
4.500000000000003553e+00,2.540000000000000157e-03
4.550000000000003375e+00,2.540000000000000157e-03
4.600000000000003197e+00,2.540000000000000157e-03
4.650000000000003020e+00,2.540000000000000157e-03
4.700000000000002842e+00,0.000000000000000000e+00
4.750000000000003553e+00,0.000000000000000000e+00
4.800000000000003375e+00,0.000000000000000000e+00
4.850000000000003197e+00,0.000000000000000000e+00
4.900000000000003908e+00,0.000000000000000000e+00
4.950000000000003730e+00,0.000000000000000000e+00
5.000000000000003553e+00,0.000000000000000000e+00
5.050000000000003375e+00,0.000000000000000000e+00
5.100000000000003197e+00,0.000000000000000000e+00
5.150000000000003908e+00,0.000000000000000000e+00
5.200000000000003730e+00,0.000000000000000000e+00
5.250000000000003553e+00,0.000000000000000000e+00
5.300000000000004263e+00,0.000000000000000000e+00
5.350000000000004086e+00,0.000000000000000000e+00
5.400000000000003908e+00,0.000000000000000000e+00
5.450000000000003730e+00,0.000000000000000000e+00
5.500000000000003553e+00,0.000000000000000000e+00
5.550000000000004263e+00,0.000000000000000000e+00
5.600000000000004086e+00,0.000000000000000000e+00
5.650000000000003908e+00,0.000000000000000000e+00
5.700000000000004619e+00,0.000000000000000000e+00
5.750000000000004441e+00,0.000000000000000000e+00
5.800000000000004263e+00,0.000000000000000000e+00
5.850000000000004086e+00,0.000000000000000000e+00
5.900000000000003908e+00,0.000000000000000000e+00
5.950000000000004619e+00,0.000000000000000000e+00
6.000000000000004441e+00,0.000000000000000000e+00
6.050000000000004263e+00,0.000000000000000000e+00
6.100000000000004974e+00,0.000000000000000000e+00
6.150000000000004796e+00,0.000000000000000000e+00
6.200000000000004619e+00,0.000000000000000000e+00
6.250000000000004441e+00,0.000000000000000000e+00
6.300000000000004263e+00,0.000000000000000000e+00
6.350000000000004974e+00,0.000000000000000000e+00
6.400000000000004796e+00,0.000000000000000000e+00
6.450000000000004619e+00,0.000000000000000000e+00
6.500000000000005329e+00,0.000000000000000000e+00
6.550000000000005151e+00,0.000000000000000000e+00
6.600000000000004974e+00,0.000000000000000000e+00
6.650000000000004796e+00,0.000000000000000000e+00
6.700000000000004619e+00,0.000000000000000000e+00
6.750000000000005329e+00,0.000000000000000000e+00
6.800000000000005151e+00,0.000000000000000000e+00
6.850000000000004974e+00,0.000000000000000000e+00
6.900000000000005684e+00,0.000000000000000000e+00
6.950000000000005507e+00,0.000000000000000000e+00
7.000000000000005329e+00,0.000000000000000000e+00
