# Wavelength (Å), Depth (cm)
1.000000000000000000e+00,4.622800000000000242e-01
1.050000000000000044e+00,4.445000000000000062e-01
1.100000000000000089e+00,4.241800000000000015e-01
1.150000000000000133e+00,4.089400000000000257e-01
1.200000000000000178e+00,3.937000000000000499e-01
1.250000000000000222e+00,3.784600000000000186e-01
1.300000000000000266e+00,3.657600000000000295e-01
1.350000000000000311e+00,3.505199999999999982e-01
1.400000000000000355e+00,3.403599999999999959e-01
1.450000000000000400e+00,3.276600000000000068e-01
1.500000000000000444e+00,3.175000000000000044e-01
1.550000000000000488e+00,3.073400000000000021e-01
1.600000000000000533e+00,2.971799999999999997e-01
1.650000000000000577e+00,2.895600000000000396e-01
1.700000000000000622e+00,2.819400000000000239e-01
1.750000000000000666e+00,2.743200000000000083e-01
1.800000000000000711e+00,2.666999999999999926e-01
1.850000000000000755e+00,2.590800000000000325e-01
1.900000000000000799e+00,2.514600000000000168e-01
1.950000000000000844e+00,2.438400000000000012e-01
2.000000000000000888e+00,2.387600000000000278e-01
2.050000000000000711e+00,2.336800000000000266e-01
2.100000000000000977e+00,2.286000000000000254e-01
2.150000000000001243e+00,2.209800000000000098e-01
2.200000000000001066e+00,2.159000000000000086e-01
2.250000000000000888e+00,2.133600000000000219e-01
2.300000000000001155e+00,2.082800000000000207e-01
2.350000000000001421e+00,2.032000000000000195e-01
2.400000000000001243e+00,1.981200000000000183e-01
2.450000000000001066e+00,1.955800000000000038e-01
2.500000000000001332e+00,1.905000000000000027e-01
2.550000000000001599e+00,1.879600000000000160e-01
2.600000000000001421e+00,1.828800000000000148e-01
2.650000000000001243e+00,1.803400000000000003e-01
2.700000000000001510e+00,1.752599999999999991e-01
2.750000000000001776e+00,1.727200000000000124e-01
2.800000000000001599e+00,1.701799999999999979e-01
2.850000000000001421e+00,1.676400000000000112e-01
2.900000000000001688e+00,1.650999999999999968e-01
2.950000000000001954e+00,1.625600000000000100e-01
3.000000000000001776e+00,1.574800000000000089e-01
3.050000000000001599e+00,1.549400000000000222e-01
3.100000000000001865e+00,1.524000000000000077e-01
3.150000000000002132e+00,1.498600000000000210e-01
3.200000000000001954e+00,1.473200000000000065e-01
3.250000000000001776e+00,1.473200000000000065e-01
3.300000000000002043e+00,1.447800000000000198e-01
3.350000000000002309e+00,1.422400000000000053e-01
3.400000000000002132e+00,1.397000000000000186e-01
3.450000000000001954e+00,1.371600000000000041e-01
3.500000000000002220e+00,1.346200000000000174e-01
3.550000000000002487e+00,1.346200000000000174e-01
3.600000000000002309e+00,1.320800000000000030e-01
3.650000000000002132e+00,1.295400000000000162e-01
3.700000000000002398e+00,1.270000000000000018e-01
3.750000000000002665e+00,1.270000000000000018e-01
3.800000000000002487e+00,1.244600000000000012e-01
3.850000000000002309e+00,1.219200000000000006e-01
3.900000000000002576e+00,1.219200000000000006e-01
3.950000000000002842e+00,1.193800000000000139e-01
4.000000000000002665e+00,1.193800000000000139e-01
4.050000000000002487e+00,1.168400000000000133e-01
4.100000000000003197e+00,1.143000000000000127e-01
4.150000000000003020e+00,1.143000000000000127e-01
4.200000000000002842e+00,1.117600000000000121e-01
4.250000000000002665e+00,1.117600000000000121e-01
4.300000000000002487e+00,1.092200000000000115e-01
4.350000000000003197e+00,1.092200000000000115e-01
4.400000000000003020e+00,1.066800000000000109e-01
4.450000000000002842e+00,1.066800000000000109e-01
4.500000000000003553e+00,1.041400000000000103e-01
4.550000000000003375e+00,1.041400000000000103e-01
4.600000000000003197e+00,1.016000000000000097e-01
4.650000000000003020e+00,1.016000000000000097e-01
4.700000000000002842e+00,1.016000000000000097e-01
4.750000000000003553e+00,9.906000000000000916e-02
4.800000000000003375e+00,9.906000000000000916e-02
4.850000000000003197e+00,9.652000000000000857e-02
4.900000000000003908e+00,9.652000000000000857e-02
4.950000000000003730e+00,9.398000000000000798e-02
5.000000000000003553e+00,9.398000000000000798e-02
5.050000000000003375e+00,9.398000000000000798e-02
5.100000000000003197e+00,9.144000000000000739e-02
5.150000000000003908e+00,9.144000000000000739e-02
5.200000000000003730e+00,9.144000000000000739e-02
5.250000000000003553e+00,8.890000000000000679e-02
5.300000000000004263e+00,8.890000000000000679e-02
5.350000000000004086e+00,8.890000000000000679e-02
5.400000000000003908e+00,8.636000000000000620e-02
5.450000000000003730e+00,8.636000000000000620e-02
5.500000000000003553e+00,8.636000000000000620e-02
5.550000000000004263e+00,8.382000000000000561e-02
5.600000000000004086e+00,8.382000000000000561e-02
5.650000000000003908e+00,8.382000000000000561e-02
5.700000000000004619e+00,8.128000000000000502e-02
5.750000000000004441e+00,8.128000000000000502e-02
5.800000000000004263e+00,8.128000000000000502e-02
5.850000000000004086e+00,8.128000000000000502e-02
5.900000000000003908e+00,7.874000000000000443e-02
5.950000000000004619e+00,7.874000000000000443e-02
6.000000000000004441e+00,7.874000000000000443e-02
6.050000000000004263e+00,7.620000000000000384e-02
6.100000000000004974e+00,7.620000000000000384e-02
6.150000000000004796e+00,7.620000000000000384e-02
6.200000000000004619e+00,7.620000000000000384e-02
6.250000000000004441e+00,7.366000000000000325e-02
6.300000000000004263e+00,7.366000000000000325e-02
6.350000000000004974e+00,7.366000000000000325e-02
6.400000000000004796e+00,7.366000000000000325e-02
6.450000000000004619e+00,7.366000000000000325e-02
6.500000000000005329e+00,7.112000000000000266e-02
6.550000000000005151e+00,7.112000000000000266e-02
6.600000000000004974e+00,7.112000000000000266e-02
6.650000000000004796e+00,7.112000000000000266e-02
6.700000000000004619e+00,6.858000000000000207e-02
6.750000000000005329e+00,6.858000000000000207e-02
6.800000000000005151e+00,6.858000000000000207e-02
6.850000000000004974e+00,6.858000000000000207e-02
6.900000000000005684e+00,6.858000000000000207e-02
6.950000000000005507e+00,6.604000000000000148e-02
7.000000000000005329e+00,6.604000000000000148e-02
