# Wavelength (Å), Depth (cm)
1.000000000000000000e+00,2.080259999999999998e+00
1.050000000000000044e+00,2.037080000000000002e+00
1.100000000000000089e+00,1.996440000000000214e+00
1.150000000000000133e+00,1.953260000000000218e+00
1.200000000000000178e+00,1.907540000000000013e+00
1.250000000000000222e+00,1.864360000000000017e+00
1.300000000000000266e+00,1.818640000000000034e+00
1.350000000000000311e+00,1.772920000000000051e+00
1.400000000000000355e+00,1.729740000000000055e+00
1.450000000000000400e+00,1.684020000000000072e+00
1.500000000000000444e+00,1.640840000000000076e+00
1.550000000000000488e+00,1.600200000000000067e+00
1.600000000000000533e+00,1.559560000000000057e+00
1.650000000000000577e+00,1.518920000000000048e+00
1.700000000000000622e+00,1.478280000000000038e+00
1.750000000000000666e+00,1.442720000000000002e+00
1.800000000000000711e+00,1.404619999999999980e+00
1.850000000000000755e+00,1.371600000000000152e+00
1.900000000000000799e+00,1.338580000000000103e+00
1.950000000000000844e+00,1.305560000000000054e+00
2.000000000000000888e+00,1.275079999999999991e+00
2.050000000000000711e+00,1.244600000000000151e+00
2.100000000000000977e+00,1.216660000000000075e+00
2.150000000000001243e+00,1.188719999999999999e+00
2.200000000000001066e+00,1.163320000000000132e+00
2.250000000000000888e+00,1.137920000000000043e+00
2.300000000000001155e+00,1.112520000000000175e+00
2.350000000000001421e+00,1.089660000000000073e+00
2.400000000000001243e+00,1.066799999999999971e+00
2.450000000000001066e+00,1.046480000000000077e+00
2.500000000000001332e+00,1.026159999999999961e+00
2.550000000000001599e+00,1.005840000000000067e+00
2.600000000000001421e+00,9.855200000000000626e-01
2.650000000000001243e+00,9.677400000000000446e-01
2.700000000000001510e+00,9.499600000000000266e-01
2.750000000000001776e+00,9.321800000000000086e-01
2.800000000000001599e+00,9.169400000000000883e-01
2.850000000000001421e+00,8.991600000000000703e-01
2.900000000000001688e+00,8.839200000000000390e-01
2.950000000000001954e+00,8.686800000000000077e-01
3.000000000000001776e+00,8.559800000000000741e-01
3.050000000000001599e+00,8.407400000000000428e-01
3.100000000000001865e+00,8.280399999999999983e-01
3.150000000000002132e+00,8.153400000000000647e-01
3.200000000000001954e+00,8.026400000000000201e-01
3.250000000000001776e+00,7.899400000000000865e-01
3.300000000000002043e+00,7.772400000000000420e-01
3.350000000000002309e+00,7.645399999999999974e-01
3.400000000000002132e+00,7.543800000000000505e-01
3.450000000000001954e+00,7.442199999999999926e-01
3.500000000000002220e+00,7.315200000000000591e-01
3.550000000000002487e+00,7.213600000000000012e-01
3.600000000000002309e+00,7.112000000000000544e-01
3.650000000000002132e+00,7.010399999999999965e-01
3.700000000000002398e+00,6.934200000000000363e-01
3.750000000000002665e+00,6.832600000000000895e-01
3.800000000000002487e+00,6.756400000000000183e-01
3.850000000000002309e+00,6.654800000000000715e-01
3.900000000000002576e+00,6.578600000000000003e-01
3.950000000000002842e+00,6.477000000000000535e-01
4.000000000000002665e+00,6.400800000000000933e-01
4.050000000000002487e+00,6.324600000000000222e-01
4.100000000000003197e+00,6.248400000000000620e-01
4.150000000000003020e+00,6.172199999999999909e-01
4.200000000000002842e+00,6.096000000000000307e-01
4.250000000000002665e+00,6.019800000000000706e-01
4.300000000000002487e+00,5.968999999999999861e-01
4.350000000000003197e+00,5.892800000000000260e-01
4.400000000000003020e+00,5.816600000000000659e-01
4.450000000000002842e+00,5.765799999999999814e-01
4.500000000000003553e+00,5.689600000000000213e-01
4.550000000000003375e+00,5.638800000000000479e-01
4.600000000000003197e+00,5.562600000000000877e-01
4.650000000000003020e+00,5.511800000000000033e-01
4.700000000000002842e+00,5.461000000000000298e-01
4.750000000000003553e+00,5.384800000000000697e-01
4.800000000000003375e+00,5.333999999999999853e-01
4.850000000000003197e+00,5.283200000000000118e-01
4.900000000000003908e+00,5.232400000000000384e-01
4.950000000000003730e+00,5.181600000000000650e-01
5.000000000000003553e+00,5.130799999999999805e-01
5.050000000000003375e+00,5.080000000000000071e-01
5.100000000000003197e+00,5.029200000000000337e-01
5.150000000000003908e+00,4.978400000000000047e-01
5.200000000000003730e+00,4.927600000000000313e-01
5.250000000000003553e+00,4.876800000000000024e-01
5.300000000000004263e+00,4.826000000000000290e-01
5.350000000000004086e+00,4.775200000000000555e-01
5.400000000000003908e+00,4.749800000000000133e-01
5.450000000000003730e+00,4.699000000000000399e-01
5.500000000000003553e+00,4.648200000000000109e-01
