# Wavelength (Å), Attenuation (fraction)
1.000000000000000000e+00,1.950650324948599579e-02
1.060606060606060552e+00,1.973812133662811164e-02
1.121212121212121104e+00,2.003721395534702188e-02
1.181818181818181879e+00,2.000347780312505819e-02
1.242424242424242431e+00,2.013651746633149386e-02
1.303030303030302983e+00,2.049650507177863679e-02
1.363636363636363757e+00,2.069346587462322917e-02
1.424242424242424310e+00,2.040377421516986756e-02
1.484848484848484862e+00,2.083761591983168682e-02
1.545454545454545414e+00,2.169577840800268609e-02
1.606060606060605966e+00,2.127396026159766862e-02
1.666666666666666741e+00,2.082695586013216804e-02
1.727272727272727293e+00,2.168815751690228444e-02
1.787878787878787845e+00,2.262915681326016504e-02
1.848484848484848619e+00,2.174352160221793007e-02
1.909090909090909172e+00,2.056838185115134054e-02
1.969696969696969724e+00,2.133492348928639482e-02
2.030303030303030276e+00,2.177981326559097486e-02
2.090909090909090828e+00,2.245909044500005169e-02
2.151515151515151381e+00,2.335997347627194465e-02
2.212121212121211933e+00,2.412681813894784755e-02
2.272727272727272485e+00,2.513713078566864878e-02
2.333333333333333481e+00,2.534379651733359440e-02
2.393939393939394034e+00,2.544120542001954144e-02
2.454545454545454586e+00,2.082135448854449677e-02
2.515151515151515138e+00,2.147846700100924933e-02
2.575757575757575690e+00,2.217150688002039738e-02
2.636363636363636687e+00,2.288678698669122102e-02
2.696969696969697239e+00,2.364377803106942899e-02
2.757575757575757791e+00,2.443070299325061923e-02
2.818181818181818343e+00,2.504811737235496105e-02
2.878787878787878896e+00,2.096893562344498418e-02
2.939393939393939448e+00,2.163036958870001580e-02
3.000000000000000000e+00,2.214347866948418453e-02
3.060606060606060552e+00,2.285721315926336761e-02
3.121212121212121104e+00,2.340826606860735293e-02
3.181818181818181657e+00,2.417658673804140568e-02
3.242424242424242653e+00,2.477034113641268798e-02
3.303030303030303205e+00,2.538758791350692601e-02
3.363636363636363757e+00,2.601880636059406005e-02
3.424242424242424310e+00,2.667166678046872796e-02
3.484848484848484862e+00,2.734096481369557852e-02
3.545454545454545414e+00,2.803495657002069708e-02
3.606060606060605966e+00,2.874884058587928726e-02
3.666666666666666963e+00,2.948741370729562883e-02
3.727272727272727515e+00,3.024537359792661695e-02
3.787878787878788067e+00,3.102443998583803708e-02
3.848484848484848619e+00,3.183065822438341241e-02
3.909090909090909172e+00,3.238666514540711194e-02
3.969696969696969724e+00,3.323227925461696985e-02
4.030303030303030276e+00,3.300936770228396488e-02
4.090909090909090828e+00,2.702169366660345240e-02
4.151515151515151381e+00,2.767805207246704091e-02
4.212121212121212821e+00,2.812654148263676879e-02
4.272727272727273373e+00,2.881124724406264326e-02
4.333333333333333925e+00,2.928348069561836908e-02
4.393939393939394478e+00,3.001051434443835486e-02
4.454545454545455030e+00,3.050219296341299957e-02
4.515151515151515582e+00,3.100221913383244265e-02
4.575757575757576134e+00,3.177513561273703768e-02
4.636363636363636687e+00,3.230297828877620736e-02
4.696969696969697239e+00,1.662061226513439349e-02
4.757575757575757791e+00,1.679830104066670771e-02
4.818181818181818343e+00,1.706721865271881855e-02
4.878787878787878896e+00,1.724218996295634465e-02
4.939393939393939448e+00,1.743183185566543614e-02
5.000000000000000000e+00,1.761807576265594921e-02
5.060606060606060552e+00,1.781448615770026001e-02
5.121212121212121104e+00,1.799892940117803208e-02
5.181818181818181657e+00,1.819836535815022582e-02
5.242424242424242209e+00,1.839283209025260879e-02
5.303030303030302761e+00,1.858791469715792566e-02
5.363636363636363313e+00,1.879364900094615543e-02
5.424242424242424754e+00,1.899545622995985061e-02
5.484848484848485306e+00,1.920532214899400847e-02
5.545454545454545858e+00,1.940534639971291941e-02
5.606060606060606410e+00,1.961616258485943121e-02
5.666666666666666963e+00,1.983547967007864843e-02
5.727272727272727515e+00,2.005212193368943741e-02
5.787878787878788067e+00,2.016113545761955006e-02
5.848484848484848619e+00,2.038354902003108871e-02
5.909090909090909172e+00,2.060369346346863084e-02
5.969696969696969724e+00,2.083408196750513586e-02
6.030303030303030276e+00,2.106593339821005717e-02
6.090909090909090828e+00,2.117509333355999113e-02
6.151515151515151381e+00,2.139964063678878592e-02
6.212121212121211933e+00,2.164282474111084431e-02
6.272727272727272485e+00,2.175976388157679908e-02
6.333333333333333925e+00,2.199586209138149062e-02
6.393939393939394478e+00,2.224677402426478157e-02
6.454545454545455030e+00,2.236288746277032002e-02
6.515151515151515582e+00,2.260876833130498476e-02
6.575757575757576134e+00,2.285897091509192514e-02
6.636363636363636687e+00,2.298916593536515229e-02
6.696969696969697239e+00,2.324227658824690179e-02
6.757575757575757791e+00,2.336892345910840385e-02
6.818181818181818343e+00,2.362351066455242732e-02
6.878787878787878896e+00,2.375252377439512896e-02
6.939393939393939448e+00,2.401778729255077405e-02
7.000000000000000000e+00,2.414951561806266689e-02
